frame,landmark,x,y,z,visibility
8,0,0.05972358584403992,0.17671635746955872,-0.053617820143699646,
8,1,0.05772639811038971,0.16494274139404297,-0.04749961569905281,
8,2,0.05696887895464897,0.16454994678497314,-0.04753880575299263,
8,3,0.05619616061449051,0.1641874611377716,-0.04753574728965759,
8,4,0.05793686583638191,0.16504234075546265,-0.06755635142326355,
8,5,0.05736160650849342,0.16485583782196045,-0.06757315993309021,
8,6,0.05677666887640953,0.16481748223304749,-0.06763391941785812,
8,7,0.04965901002287865,0.1673773229122162,-0.011429979465901852,
8,8,0.05176384001970291,0.16892418265342712,-0.10176914185285568,
8,9,0.056391675025224686,0.18478989601135254,-0.036997172981500626,
8,10,0.056268513202667236,0.18497881293296814,-0.0632907897233963,
8,11,0.03651748597621918,0.21438515186309814,0.04907400533556938,
8,12,0.04204321280121803,0.21756115555763245,-0.1472451537847519,
8,13,0.038313765078783035,0.28392350673675537,0.06621497869491577,
8,14,0.03995879739522934,0.29690298438072205,-0.17586354911327362,
8,15,0.045205794274806976,0.3460039496421814,0.020078808069229126,
8,16,0.049561258405447006,0.3735803961753845,-0.13776017725467682,
8,17,0.043451160192489624,0.36551257967948914,0.015182732604444027,
8,18,0.05129764601588249,0.39254000782966614,-0.1533982753753662,
8,19,0.046680908650159836,0.36451423168182373,0.00021051798830740154,
8,20,0.053243931382894516,0.39255499839782715,-0.14558066427707672,
8,21,0.04702148959040642,0.36183086037635803,0.011110590770840645,
8,22,0.05120181292295456,0.3861289918422699,-0.1334923654794693,
8,23,0.039351459592580795,0.379376620054245,0.06671863794326782,
8,24,0.04400711879134178,0.3830060064792633,-0.06684965640306473,
8,25,0.04451064392924309,0.46621617674827576,0.17269988358020782,
8,26,0.04607950523495674,0.46734941005706787,0.026547329500317574,
8,27,0.04351193830370903,0.5611609220504761,0.27375662326812744,
8,28,0.06016065180301666,0.5578972101211548,0.12565265595912933,
8,29,0.039829500019550323,0.5809546113014221,0.2832743227481842,
8,30,0.05919181555509567,0.5865408778190613,0.134939044713974,
8,31,0.06036518141627312,0.5677977800369263,0.26799818873405457,
8,32,0.08565650135278702,0.5706332921981812,0.10366319119930267,
9,0,0.059402406215667725,0.1816289722919464,-0.04374772310256958,
9,1,0.05740755796432495,0.17144232988357544,-0.03780365362763405,
9,2,0.056756068021059036,0.17103296518325806,-0.0378345288336277,
9,3,0.05609235540032387,0.1705927550792694,-0.03783700615167618,
9,4,0.05759758502244949,0.17185817658901215,-0.05656469985842705,
9,5,0.05710894614458084,0.17186447978019714,-0.05657917633652687,
9,6,0.05661061406135559,0.1719173640012741,-0.05661725625395775,
9,7,0.04978866130113602,0.1722380518913269,-0.004253636579960585,
9,8,0.051684509962797165,0.1740082949399948,-0.08853092044591904,
9,9,0.05635721608996391,0.1890268176794052,-0.028564827516674995,
9,10,0.05624186247587204,0.18916866183280945,-0.05301421135663986,
9,11,0.03688095510005951,0.21984615921974182,0.05329276993870735,
9,12,0.04181305691599846,0.2231423556804657,-0.1317998468875885,
9,13,0.03818856179714203,0.296395480632782,0.06516539305448532,
9,14,0.040541209280490875,0.30739834904670715,-0.14334020018577576,
9,15,0.04468696564435959,0.35625195503234863,0.0193797517567873,
9,16,0.04982836917042732,0.3745841681957245,-0.09705163538455963,
9,17,0.043297696858644485,0.3770235478878021,0.013884690590202808,
9,18,0.05208984389901161,0.3939145803451538,-0.1096678152680397,
9,19,0.04556870833039284,0.3745242953300476,0.0001320037990808487,
9,20,0.053530771285295486,0.39287111163139343,-0.10535629838705063,
9,21,0.045629020780324936,0.3694879114627838,0.010917874053120613,
9,22,0.0515311025083065,0.38693171739578247,-0.09374702721834183,
9,23,0.039798252284526825,0.3810938596725464,0.061737071722745895,
9,24,0.04307109862565994,0.38412538170814514,-0.06178759038448334,
9,25,0.04472151771187782,0.4709796905517578,0.11760696023702621,
9,26,0.04668795317411423,0.47316810488700867,-0.0021223833318799734,
9,27,0.047724753618240356,0.5717503428459167,0.1812811940908432,
9,28,0.0603996179997921,0.567785918712616,0.07138874381780624,
9,29,0.04391247779130936,0.5921751260757446,0.18601897358894348,
9,30,0.05655558779835701,0.586958110332489,0.07744822651147842,
9,31,0.0715646892786026,0.5807836055755615,0.16426052153110504,
9,32,0.08615853637456894,0.5820627808570862,0.04440930485725403,
10,0,0.05897374451160431,0.18157942593097687,-0.04520270973443985,
10,1,0.05699675902724266,0.17150850594043732,-0.03924844041466713,
